english,pos,lang1_form,language,candidate_form,similarity,method,sentence_id,sentence_length
algorithm,NN,fénara,lang2,kénàràqngà,0.625,parallel,98,7
to create,VB,góruamu,lang2,úgórúàmúgùmù,0.8333,parallel,98,7
to want,VB,vézimi,lang2,ígéngímímí,0.7368,parallel,98,7
if,CONJ,héré,lang6,Héré,1.0,parallel,47,8
two,CARD,po,lang6,pogadi,1.0,parallel,47,8
year,NN,vári,lang6,bvarivarili,0.9524,parallel,47,8
to end,VB,nérimi,lang6,nẽ́rimĩnẽdérimĩdérimĩgemẽ,1.0,parallel,47,8
karaoke,NN,kánara,lang6,qanãrã,0.8333,parallel,47,8
emperor,NNP,Máguzúrazóronara,lang2,Màgúngúúràngórùnàràgùùg,0.6667,parallel,57,7
athlete,NN,pálumudóru,lang2,pàlúmúdórúmàgà,0.9231,parallel,57,7
thirteen,CARD,hálu,lang2,hàlú,1.0,parallel,57,7
kilometer,NN,kílimiri,lang2,qíílímírí,0.8235,parallel,57,7
to run,VB,rúzamu,lang2,àrúúngàmúngúngúbúmú,0.7059,parallel,57,7
proud,JJ,xórughuralu,lang2,xórúghúràlú,1.0,parallel,57,7
to be surprised,VB,vóruza,lang2,íngàmímílí,0.8421,parallel,57,7
astronomer,NN,fálurunadóruma,lang3,fàlúrúnã̀drúmãã,0.9286,parallel,31,9
satellite,NN,xúbaru,lang3,xúúbàrú,0.9231,parallel,31,9
storm,NN,fázuma,lang3,fàzúmãã,0.9231,parallel,31,9
to see,VB,vérima,lang3,ívérímã̀zízímĩ́lí,1.0,parallel,31,9
data,JJ,téreni,lang3,térenĩ,1.0,parallel,31,9
new,JJ,nérili,lang3,nẽ́rílí,1.0,parallel,31,9
to want,VB,vézimi,lang3,ívézímĩ́mĩ,1.0,parallel,31,9
student,NN,dóruma,lang7,ngdórúmõ̀gòòg,0.7619,parallel,5,7
new,JJ,nérili,lang7,nẽ́rílí,1.0,parallel,5,7
to build,VB,fírimi,lang7,ívíírímĩ́mĩ́lí,0.9565,parallel,5,7
week,NN,zómuru,lang7,ngómṹrúgùlú,0.7619,parallel,5,7
teacher,NN,zúragúra,lang7,ngúúrògúúrògòòg,0.6154,parallel,5,7
to celebrate,VB,férimi,lang7,èvérímĩ́gìmĩ,0.7273,parallel,5,7
winter,NN,ħórumu-vóruma,lang2,ħħórúmúvórúmànú,0.9655,parallel,50,9
wet,JJ,shíynimili,lang2,shííynímílí,0.9524,parallel,50,9
to be surprised,VB,vóruza,lang2,íngàmímílí,0.8421,parallel,50,9
corn,NN,máys,lang2,màyh,0.75,parallel,50,9
dry,JJ,xóronuzámushlu,lang2,hélí,0.75,parallel,50,9
road,NN,márugu,lang2,màrúgúnú,1.0,parallel,50,9
quick,JJ,fúdurulu,lang2,fúúdúrúlú,0.9412,parallel,50,9
to grow,VB,dárimi,lang2,ídàrímíqgìmì,0.7826,parallel,50,9
who,WH,lízire,lang4,Líízírìù,0.6667,parallel,48,6
President,NNP,máguzúra,lang4,mã̀gúzúúrã,0.9412,parallel,48,6
alphabet,NN,rázumurána,lang4,ràzúmṹrànã,1.0,parallel,48,6
to write,NN,nárumu,lang4,únã̀rúmṹzúzúbúmṹ,1.0,parallel,48,6
documentation,NN,dénili,lang4,ðdénĩ́lí,0.9231,parallel,48,6
to learn,VB,sérimi,lang4,ízérímĩ́dérímĩ́lí,1.0,parallel,48,6
director,NN,tóralugóruama,lang3,Tóràlúgórúàmã̀gook,0.9697,parallel,45,6
actor,NN,tóralunáruma,lang3,tràlúnã̀rúmãã,0.9167,parallel,45,6
to cry,VB,périma,lang3,àbérímã̀zízímĩ,1.0,parallel,45,6
story,NN,sórumu,lang3,sórúmṹ,1.0,parallel,45,6
heart,NN,múranuzómut,lang3,mṹṹrànṹzómṹt,0.9565,parallel,45,6
if,CONJ,héré,lang4,Héré,1.0,parallel,105,7
athlete,NN,pálumudóru,lang4,pàlúmṹnã̀rúmã̀gù,0.9286,parallel,105,7
target,NN,tórunu,lang4,tórúnṹ,1.0,parallel,105,7
to hit,VB,tórumo,lang4,útórúmũ̀dórúmã̀gù,0.8667,parallel,105,7
family,NN,núma,lang4,nṹṹmã,0.8889,parallel,105,7
to celebrate,VB,férimi,lang4,àgérímĩ́qgìmĩ,0.6957,parallel,105,7
hospital,NN,múranuspára,lang4,Mṹṹrànṹspàràzúúràdórúmã̀gùùng,0.8462,parallel,101,6
weak,JJ,zérimineli,lang4,dzérímĩ́nĩ̀lí,0.8571,parallel,101,6
animal,NN,báruna,lang4,ðbàrúnã,0.9231,parallel,101,6
cold,JJ,ħórumu,lang4,tàħórúmṹ,0.8571,parallel,101,6
water,NN,túzuma,lang4,túúzúmã,0.9231,parallel,101,6
to drink,VB,nízimi,lang4,ínĩ́ĩ́zímĩ́zízímĩ,0.963,parallel,101,6
hawk,NN,ħárum,lang7,tòħòrúmṹshlú,0.8182,parallel,21,8
black,JJ,bóhrunu,lang7,ngbóħrúnṹ,0.875,parallel,21,8
to be surprised,VB,vóruza,lang7,íngèmĩ́mĩ́lí,0.7368,parallel,21,8
bird,NN,túrumu,lang7,túúrúmṹ,0.9231,parallel,21,8
to fear,VB,mózumu,lang7,òmṍngúmṹmṹ,0.7368,parallel,21,8
scholar,NN,zúradóruma,lang3,Pozúúràdrúmã̀õ,0.9231,parallel,86,6
star,NN,félirina,lang3,félírínã̀vélírínãã,0.9697,parallel,86,6
telescope,NN,pélani,lang3,pélànĩ́ge,1.0,parallel,86,6
to see,VB,vérima,lang3,ívérímã̀mĩ,1.0,parallel,86,6
observatory,NN,múnaru,lang3,mṹṹnã̀rúnṹ,0.9412,parallel,86,6
emperor,NNP,Máguzúrazóronara,lang7,Mõ̀gúngúúròngórùnõ̀rògòòg,0.5714,parallel,101,4
musician,NN,lámorudóru,lang7,lòmũ̀rúdórú,0.8,parallel,101,4
to sing,"(ie, that which produces a song)",mánaruma,lang7,òmõ̀nõ̀rúmõ̀ngúbímĩ,0.6452,parallel,101,4
person,NN,náruma,lang7,nõ̀rúmõ̀nõ̀rúmõ̀lú,0.7143,parallel,101,4
student,NN,dóruma,lang6,Þadórumãgo,0.8421,parallel,90,5
to hit,VB,tórumo,lang6,udórumõdórumãmũ,1.0,parallel,90,5
mirror,NN,várudógoru,lang6,bvarudógorugo,0.96,parallel,90,5
kitchen,NN,fízani,lang6,kízanĩ,0.8333,parallel,90,5
to be surprised,VB,vóruza,lang6,izamĩmĩ,1.0,parallel,90,5
otherwise,RB,kogonováruzulu,lang5,Kogonovàrungulu,0.8966,parallel,71,6
empty,JJ,sám,lang5,hàm,0.6667,parallel,71,6
prison,NN,nèmispíra,lang5,nàmihpíràni,0.8182,parallel,71,6
nine,CARD,níza,lang5,níngàqgà,0.5,parallel,71,6
to see,VB,vérima,lang5,igérimàmi,0.8889,parallel,71,6
student,NN,dóruma,lang7,ngdórúmõ̀lú,0.7778,parallel,113,7
seed,NN,vónu,lang7,vvónṹvónṹ,0.9412,parallel,113,7
to give,VB,tórumu,lang7,údórúmũ̀mṹ,0.8889,parallel,113,7
alphabet,NN,rázumurána,lang7,ròngúmṹrònõ̀ngò,0.5,parallel,113,7
to learn,VB,sérimi,lang7,íngérímĩ́lí,0.8421,parallel,113,7
crow,NN,ħòro,lang7,tòħòrùgòòg,0.7059,parallel,61,7
black,JJ,bóhrunu,lang7,ngbóħrúnṹ,0.875,parallel,61,7
feather,NN,mìli,lang7,mĩ̀límĩ̀lí,1.0,parallel,61,7
dark,JJ,milineli,lang7,mĩ́línĩ̀lí,0.875,parallel,61,7
forest,NN,kóramudógorughóronu,lang7,kóròmṹdógùrúlú,0.8571,parallel,61,7
to fly,VB,lózumu,lang7,lóngúmṹmṹ,0.8235,parallel,61,7
snack,NN,sánomu,lang2,hànùmúngànùmú,0.64,parallel,92,5
to share,VB,dérimi,lang2,ídérímíngíbímí,0.8889,parallel,92,5
emperor,NNP,Máguzúrazóronara,lang4,Mã̀gúzúúràzórùnã̀ràgùùng,0.7805,parallel,100,5
many,DT,zéreni,lang4,dzérìnĩ,0.7692,parallel,100,5
gold,JJ,málalu,lang4,mã̀làlú,1.0,parallel,100,5
teacher,NN,zúragúra,lang4,dzúúràgúúrã,0.8421,parallel,96,5
documentation,NN,dénili,lang4,ðdénĩ́lí,0.9231,parallel,96,5
to read,VB,elirízimi,lang4,íìlíríízímĩ́zízímĩ,0.9091,parallel,96,5
garden,NN,kóvunu,lang6,Kóvunũdórugo,0.96,parallel,7,4
homework,NN,dézari,lang6,þadézari,0.8571,parallel,7,4
to hit,VB,tórumo,lang6,udórumõdórumãmũ,1.0,parallel,7,4
rich,JJ,málalununulu,lang2,màlàlúnúnúlú,1.0,parallel,108,5
student,NN,dóruma,lang2,þàdórúmàdórúmàgù,0.8667,parallel,108,5
to learn,VB,sérimi,lang2,àngérímíngíngímí,0.6897,parallel,108,5
nineteen,CARD,lúna,lang2,Lúúnàgà,0.7273,parallel,12,6
lazy,JJ,nólumulu,lang2,nólúmúlú,1.0,parallel,12,6
baboon,NN,babún,lang2,þàbàbúúnúshbàbúúnúshgùùg,0.7907,parallel,12,6
desert,NN,xóronuzám,lang2,xórùnúnú,0.875,parallel,12,6
fruit,NN,vónuma,lang2,vvónúmàgà,0.8,parallel,12,6
to bite,VB,zálami,lang2,àngàlàmímí,0.8421,parallel,12,6
director,NN,tóralugóruama,lang6,tóralugóruamãgo,0.9677,parallel,66,5
dark,JJ,milineli,lang6,mĩlinẽzeħrisnĩ,1.0,parallel,66,5
terror,NN,mózu,lang6,mṍz,1.0,parallel,66,5
musician,NN,lámorudóru,lang6,Lamõrudóru,1.0,parallel,19,4
hand,NN,lóra,lang6,laradago,0.8235,parallel,19,4
instrument,NN,pálumuma,lang6,palumũmã,1.0,parallel,19,4
to reach,VB,lóradárumu,lang6,ulóradarumũmũ,1.0,parallel,19,4
night,NN,mulunozólunu,lang2,múlúnùngólúnúnú,0.8276,parallel,65,6
sky,NN,féliri,lang2,kélíríní,0.875,parallel,65,6
moon,NN,lánumu,lang2,lànúmúgù,0.875,parallel,65,6
to see,VB,vérima,lang2,ígérímàmí,0.8889,parallel,65,6
astronomer,NN,fálurunadóruma,lang3,Fàlúrúnã̀drúmã̀gook,0.9412,parallel,65,4
star,NN,félirina,lang3,nã̀nĩ́bíírãã,0.8889,parallel,65,4
weak,JJ,zérimineli,lang7,ngérímĩ́nĩ̀lí,0.7619,parallel,30,5
to eat,VB,zálumu,lang7,òngòlúmṹngúmṹ,0.5833,parallel,30,5
planet,NN,zánguru,lang3,tàzàngúrúgo,0.9,parallel,20,6
telescope,NN,pélani,lang3,pélànĩ́ge,1.0,parallel,20,6
to see,VB,vérima,lang3,ívérímã̀mĩ,1.0,parallel,20,6
month,NN,sélimivári,lang2,hélímígàríní,0.8333,parallel,85,6
island,NN,rómuru,lang2,rómúrúlú,1.0,parallel,85,6
to travel,VB,trávimi,lang2,tràgímímí,0.8889,parallel,85,6
cat,NN,mázumu,lang4,Mã̀zúmṹgù,0.875,parallel,14,4
lizard,NN,polunámora,lang4,pùlúnã̀mũ̀rã,0.8,parallel,14,4
to chase,VB,dárumu,lang4,àdàrúmṹmṹ,1.0,parallel,14,4
garden,NN,kóvunu,lang4,kóvúnṹnṹ,1.0,parallel,14,4
alphabet,NN,rázumurána,lang3,ràzúmṹrànã̀gook,0.963,parallel,96,5
knowledge,NN,sérimini,lang3,sérímĩ́nĩ,1.0,parallel,96,5
to ensure,VB,sérimi,lang3,ízérímĩ́mĩ,1.0,parallel,96,5
winter,NN,ħórumu-vóruma,lang2,ħħórúmúvórúmànú,0.9655,parallel,69,4
ocean,NN,séliru,lang2,hélírú,0.8333,parallel,69,4
blue,JJ,félirili,lang2,kélírílí,0.875,parallel,69,4
to be surprised,VB,vóruza,lang2,íngàmímí,0.8,parallel,69,4
brave,JJ,mózunolu,lang5,Móngunolu,0.8235,parallel,22,5
hunter,NN,dárumodóruma,lang5,ngdàrumodórumàgo,0.9032,parallel,22,5
fire,NN,xázunu,lang5,xàngunu,0.7692,parallel,22,5
to smell,VB,nízami,lang5,níngàmi,0.7692,parallel,22,5
to fear,VB,mózumu,lang5,umóngumunomu,0.8696,parallel,22,5
student,NN,dóruma,lang4,Ðdórúmã̀gùùng,0.6667,parallel,52,4
dictionary,NN,móluru,lang4,mṍlúrú,1.0,parallel,52,4
to lose,VB,dólumu,lang4,údólúmṹmṹ,1.0,parallel,52,4
bus,NN,trávumudógoru,lang4,tràvúmṹdógùrúnṹ,0.9333,parallel,52,4
morning,NN,kúrumuvóruma,lang5,Kúrumuvórumànu,1.0,parallel,9,5
fast,JJ,fúdurulu,lang5,fúdurulu,1.0,parallel,9,5
swan,NN,éle,lang5,éle,1.0,parallel,9,5
beautiful,JJ,lúmuralu,lang5,lúmuràlu,1.0,parallel,9,5
to be surprised,VB,vóruza,lang5,ingàmimi,0.8,parallel,9,5
hawk,NN,ħárum,lang2,ħħàrúmúshgùùg,0.75,parallel,22,4
mist,NN,shíynimi,lang2,shííynímílí,0.9524,parallel,22,4
to chase,VB,dárumu,lang2,àdàrúmúmú,1.0,parallel,22,4
to go,VB,bóromu,lang5,ngbóromumu,0.8889,parallel,69,6
riverbank,NN,zárunubárolu,lang5,dngàrunubàrolulu,0.8667,parallel,69,6
to see,VB,vérima,lang5,igérimàmi,0.8889,parallel,69,6
frankly,RB,xérali,lang3,Xéràlí,1.0,parallel,83,5
teacher,NN,zúragúra,lang3,tàzúúràgúúràlí,0.8333,parallel,83,5
dictionary,NN,móluru,lang3,mṍlúrú,1.0,parallel,83,5
to hide,VB,púruma,lang3,úbúúrúmã̀mṹ,0.9474,parallel,83,5
student,NN,dóruma,lang2,Þàdórúmàgù,0.7778,parallel,114,4
leg,NN,néri,lang2,nérídì,0.8333,parallel,114,4
to hit,VB,tórumo,lang2,údórúmùdórúmàmú,0.9333,parallel,114,4
to play,VB,pálumu,lang2,pàlúmúdóngàmànú,0.8966,parallel,114,4
snacker,NN,sánumunáru,lang2,hànùmúnàrú,0.8,parallel,26,5
snack,NN,sánomu,lang2,hànùmúngànùmú,0.64,parallel,26,5
to give,VB,tórumu,lang2,údórúmúngúbúmú,0.8889,parallel,26,5
hummingbird,NN,píbi,lang7,Pííbígì,0.7692,parallel,8,5
flower,NN,kírimi,lang7,qíírímĩ́gì,0.7059,parallel,8,5
to find,VB,kélimi,lang7,ígélímĩ́mĩ,1.0,parallel,8,5
hawk,NN,ħárum,lang5,tàħàrumushdàgo,0.8889,parallel,19,6
beautiful,JJ,lúmuralu,lang5,lúmura,1.0,parallel,19,6
wing,NN,zélirilára,lang5,kélàridàqgà,0.7368,parallel,19,6
day,NN,sélimi,lang5,hélimi,0.8333,parallel,19,6
to fly,VB,lózumu,lang5,ulóngumungungumu,0.6897,parallel,19,6
emperor,NNP,Máguzúrazóronara,lang6,Mãguzúrazóronãrago,0.973,parallel,93,4
satellite,NN,xúbaru,lang6,xúbaru,1.0,parallel,93,4
storm,NN,fázuma,lang6,fazumãgo,1.0,parallel,93,4
to see,VB,vérima,lang6,ivérimãzibimẽ,1.0,parallel,93,4
prison,NN,nèmispíra,lang5,nàmihpíràqgériqge,0.8125,parallel,66,5
prison,NN,nèmispíra,lang5,nàmihpíràqgà,0.6667,parallel,66,5
director,NN,tóralugóruama,lang5,tóràlugóruwàmàgo,0.9375,parallel,2,6
beautiful,JJ,lúmuralu,lang5,lúmura,1.0,parallel,2,6
expressive,JJ,xérali,lang5,xéràli,1.0,parallel,2,6
poem,NN,rélama,lang5,rélàmàqgà,0.8,parallel,2,6
to write,NN,nárumu,lang5,unàrumumu,1.0,parallel,2,6
winter,NN,ħórumu-vóruma,lang2,ħħórúmúvórúmànú,0.9655,parallel,15,6
wet,JJ,shíynimili,lang2,shííynímílí,0.9524,parallel,15,6
to be surprised,VB,vóruza,lang2,íngàmímílí,0.8421,parallel,15,6
corn,NN,máys,lang2,màyh,0.75,parallel,15,6
to grow,VB,dárimi,lang2,ídàrímíqgìmì,0.7826,parallel,15,6
rage,NN,xòrolughòron,lang6,xarolugharon,0.8333,parallel,34,8
to judge,VB,témeni,lang6,idémẽnĩmĩ,1.0,parallel,34,8
coffee,NN,kávuru,lang6,kavuru,1.0,parallel,34,8
to refuse,VB,názimi,lang6,inãzimĩmĩ,1.0,parallel,34,8
who,WH,lízire,lang2,Lííngírìù,0.5,parallel,79,4
museum,NN,donubánu,lang2,þàdùnúbànúnú,0.8182,parallel,79,4
to remain,VB,séradi,lang2,àngéràdíngíngímí,0.6897,parallel,79,4
green,JJ,kóvanulu,lang4,Kóvànṹlú,1.0,parallel,28,5
lizard,NN,polunámora,lang4,pùlúnã̀mũ̀ràgùùng,0.6429,parallel,28,5
spicy,JJ,xázimili,lang4,xàzímĩ́lí,1.0,parallel,28,5
snack,NN,sánomu,lang4,sànũ̀mṹ,0.8333,parallel,28,5
to bite,VB,zálami,lang4,àzàlàmĩ́mĩ,1.0,parallel,28,5
terror,NN,mózu,lang6,Mṍzu,1.0,parallel,2,5
new,JJ,nérili,lang6,nẽ́rili,1.0,parallel,2,5
system,NN,dórava,lang6,þadóravã,0.8571,parallel,2,5
to judge,VB,témeni,lang6,idémẽnĩdérimĩmĩ,1.0,parallel,2,5
student,NN,dóruma,lang5,ngdórumà-múru,0.9167,parallel,96,6
karaoke,NN,kánara,lang5,kànàrà-lu,1.0,parallel,96,6
to go,VB,bóromu,lang5,ngbóromu-hu-bi-mi,0.875,parallel,96,6
hawk,NN,ħárum,lang2,ħħàrúmúshkùùg,0.75,parallel,40,5
swan,NN,éle,lang2,élìlí,0.8,parallel,40,5
to hide,VB,púruma,lang2,úbúúrúmàmí,0.9474,parallel,40,5
garden,NN,kóvunu,lang2,kóvúnúnú,1.0,parallel,40,5
hawk,NN,ħárum,lang6,taħarumũshgo,0.7826,parallel,4,5
swan,NN,éle,lang6,éleli,1.0,parallel,4,5
to hide,VB,púruma,lang6,ubúrumũmũ,0.7778,parallel,4,5
garden,NN,kóvunu,lang6,kóvunũnũ,1.0,parallel,4,5
hummingbird,NN,píbi,lang5,Píbibíbiqge,0.9524,parallel,28,4
beautiful,JJ,lúmuralu,lang5,lúmura,1.0,parallel,28,4
flower,NN,kírimi,lang5,qírimili,0.875,parallel,28,4
to reach,VB,lóradárumu,lang5,ulóràdàrumumu,1.0,parallel,28,4
if,CONJ,héré,lang4,Héré,1.0,parallel,68,7
calculation,NN,kérim,lang4,kérím,1.0,parallel,68,7
true,JJ,xéliri,lang4,xélírí,1.0,parallel,68,7
to be surprised,VB,vóruza,lang4,ízàmĩ́mĩ,1.0,parallel,68,7
project,VB,gérimi,lang4,ðqgérímĩ,0.8571,parallel,68,7
to finish,VB,dérimi,lang4,ðdàrúmṹvólúmṹ,0.96,parallel,68,7
to be surprised,VB,vóruza,lang4,ízàmĩ́mĩ,0.75,parallel,68,7
mime,NN,mimísmi,lang2,Mímííhmíqgììd,0.6087,parallel,61,4
alphabet,NN,rázumurána,lang2,ràngúmúrànàgà,0.7826,parallel,61,4
to write,NN,nárumu,lang2,únàrúmúmú,1.0,parallel,61,4
mime,NN,mimísmi,lang5,Mimíhmiqge,0.8,parallel,23,4
alphabet,NN,rázumurána,lang5,ràngumuràna,0.8571,parallel,23,4
to write,NN,nárumu,lang5,unàrumumu,1.0,parallel,23,4
nine,CARD,níza,lang3,Kàdíngérelúúnãã,0.9286,parallel,24,5
satiated,NN,zálumazúra,lang3,tàzàlúmã̀zúúràllú,0.8966,parallel,24,5
baboon,NN,babún,lang3,þàbàbúúnṹshbàbúúnṹshkook,0.8837,parallel,24,5
field,NN,xóronu,lang3,xóronṹ-nṹ,1.0,parallel,24,5
to sleep,VB,órumo,lang3,à-órúmõ-mĩ,1.0,parallel,24,5
statistics,NN,stádira,lang5,htàduràdóruma,0.9231,parallel,38,4
homework,NN,dézari,lang5,ngdéngàri,0.6667,parallel,38,4
to ensure,VB,sérimi,lang5,ingérimingingimi,0.6897,parallel,38,4
desert,NN,xóronuzám,lang4,xórùnṹzàmṹshnṹ,0.9286,parallel,36,5
fruit,NN,vónuma,lang4,bvónṹmã,0.9231,parallel,36,5
to eat,VB,zálumu,lang4,àzàlúmṹmṹ,1.0,parallel,36,5
crow,NN,ħòro,lang7,tòħòrùgòòg,0.7059,parallel,19,5
desert,NN,xóronuzám,lang7,xórùnṹngòmṹshnṹ,0.7586,parallel,19,5
fruit,NN,vónuma,lang7,vvónṹmõ̀ngò,0.625,parallel,19,5
to eat,VB,zálumu,lang7,òngòlúmṹmṹ,0.6316,parallel,19,5
student,NN,dóruma,lang3,Þàdrúmã̀gook,0.8,parallel,48,5
important,JJ,zórumalu,lang3,tàzórúmã̀lú,0.8889,parallel,48,5
tool,NN,tógoru,lang3,tógorú,1.0,parallel,48,5
to repair,VB,kázumu,lang3,úgàzúmṹdàrúmṹmṹ,1.0,parallel,48,5
student,NN,dóruma,lang4,Ðdórúmã̀gùùng,0.6667,parallel,56,5
important,JJ,zórumalu,lang4,dzórúmã̀lú,0.9412,parallel,56,5
tool,NN,tógoru,lang4,tógùrú,0.8333,parallel,56,5
to repair,VB,kázumu,lang4,úgàzúmṹdàrúmṹmṹ,1.0,parallel,56,5
emperor,NNP,Máguzúrazóronara,lang2,Màgúngúúràngórùnàràgùùg,0.6667,parallel,91,4
musician,NN,lámorudóru,lang2,làmùrúngúúràdórúmàgà,0.7778,parallel,91,4
song,NN,mánaru,lang2,mànàrú,1.0,parallel,91,4
to sing,"(ie, that which produces a song)",mánaruma,lang2,àmànàrúmàngúbúmú,0.9032,parallel,91,4
park,NN,vórulu,lang7,vvórúlúnṹ,0.9412,parallel,102,4
to grow,VB,dárimi,lang7,ídèrímĩ́ngíngímĩ,0.7143,parallel,102,4
alphabet,NN,rázumurána,lang2,ràngúmúrànàgùùg,0.7143,parallel,73,5
knowledge,NN,sérimini,lang2,hérímíní,0.875,parallel,73,5
to ensure,VB,sérimi,lang2,íngérímímí,0.8421,parallel,73,5
gunslinger,NN,tórumodóruma,lang3,Tórúmõdrúmã̀gook,0.9333,parallel,70,4
spicy,JJ,xázimili,lang3,xàzímĩ́lí,1.0,parallel,70,4
to bite,VB,zálami,lang3,àzàlàmĩ́mĩ,1.0,parallel,70,4
if,CONJ,héré,lang3,Héré,1.0,parallel,12,5
moon,NN,lánumu,lang3,lànṹmṹgo,1.0,parallel,12,5
to glow,VB,glizami,lang3,þàglízàmĩ,0.875,parallel,12,5
owl,NN,pórumu,lang3,pórúmṹgook,0.9474,parallel,12,5
to celebrate,VB,férimi,lang3,ívérímĩ́gemẽ,1.0,parallel,12,5
athlete,NN,pálumudóru,lang2,Pàlúmúdórúmàgùùg,0.8387,parallel,88,5
fifteen,CARD,bíra,lang2,þàbííràqngà,0.5333,parallel,88,5
kilometer,NN,kílimiri,lang2,qíílímíríqgíílímírí,0.8571,parallel,88,5
island,NN,rómuru,lang2,rómúrúnú,1.0,parallel,88,5
to run,VB,rúzamu,lang2,àrúúngàmúmú,0.8,parallel,88,5
athlete,NN,pálumudóru,lang6,Palumũdórumãgo,0.9655,parallel,78,5
fifteen,CARD,bíra,lang6,þabírã,0.8,parallel,78,5
kilometer,NN,kílimiri,lang6,qílimĩri,0.5833,parallel,78,5
island,NN,rómuru,lang6,rómũrunũ,1.0,parallel,78,5
to run,VB,rúzamu,lang6,arúzamũmũ,1.0,parallel,78,5
hospital,NN,múranuspára,lang6,Mṹranũsparazúradórumãgo,0.9787,parallel,71,4
weak,JJ,zérimineli,lang6,dzérimĩnẽli,0.9524,parallel,71,4
animal,NN,báruna,lang6,þabarunã,0.8571,parallel,71,4
if,CONJ,héré,lang5,Héré,1.0,parallel,85,8
to help,VB,gérimi,lang5,àqgérimimi,0.9474,parallel,85,8
this,DT,kogo,lang5,kogo,1.0,parallel,85,8
class,NN,déni,lang5,ngdéni,0.8,parallel,85,8
to be surprised,VB,vóruza,lang5,ingàmimi,0.8,parallel,85,8
race,NN,fúramu,lang6,fúramũnũ,1.0,parallel,63,4
satellite,NN,xúbaru,lang6,xúbaru,1.0,parallel,63,4
to create,VB,góruamu,lang6,ugóruamũzuzumũ,1.0,parallel,63,4
student,NN,dóruma,lang6,Þadórumãgo,0.8421,parallel,23,5
laptop,NN,míniri,lang6,mĩ́nĩri,1.0,parallel,23,5
to need,VB,dézimi,lang6,idézimĩmĩ,1.0,parallel,23,5
data,JJ,téreni,lang6,térenĩ,1.0,parallel,23,5
emperor,NNP,Máguzúrazóronara,lang7,Mõ̀gúngúúròngórùnõ̀rògòòg,0.5714,parallel,52,4
gold,JJ,málalu,lang7,mõ̀lòlú,0.6667,parallel,52,4
who,WH,lízire,lang7,Lííngírìù,0.5,parallel,71,4
prison,NN,nèmispíra,lang7,nẽ̀mĩ́hpíírènĩ,0.7826,parallel,71,4
mime,NN,mimísmi,lang7,mĩ́mĩ́ĩ́hmĩ́gì,0.7368,parallel,71,4
to sit,VB,sólumu,lang7,òngólúmṹngúbúmṹ,0.7143,parallel,71,4
owl,NN,pórumu,lang4,pórúmṹbórúmṹ,1.0,parallel,18,5
park,NN,vórulu,lang4,bvórúlúnṹ,0.9412,parallel,18,5
to hide,VB,púruma,lang4,úpúúrúmã,0.8,parallel,18,5
to see,VB,vérima,lang4,àgérímã̀mĩ,0.8889,parallel,18,5
owl,NN,pórumu,lang5,pórumubórumu,1.0,parallel,10,5
park,NN,vórulu,lang5,bvórulunu,0.9412,parallel,10,5
to hide,VB,púruma,lang5,uvúruma,0.8571,parallel,10,5
to see,VB,vérima,lang5,àgérimàmi,0.8889,parallel,10,5
if,CONJ,héré,lang4,Héré,1.0,parallel,65,5
to endure,VB,nérimi,lang4,ínẽ́rímĩ́mĩ,1.0,parallel,65,5
student,NN,dóruma,lang4,ðdórúmã̀gù,0.8235,parallel,65,5
to learn,VB,sérimi,lang4,ízérímĩ́dérímĩ́qgìmĩ,0.8571,parallel,65,5
musician,NN,lámorudóru,lang7,Lòmũ̀rúdórúgòòg,0.8148,parallel,48,4
alphabet,NN,rázumurána,lang7,rómṹrú-nṹ,0.5263,parallel,48,4
to give,VB,tórumu,lang7,údórúmũ̀ngúmṹ,0.7826,parallel,48,4
island,NN,rómuru,lang7,rómṹrú-nṹ,1.0,parallel,48,4
winter,NN,ħórumu-vóruma,lang4,tàħórúmṹvórúmã̀nṹ,0.9333,parallel,49,5
gutter,NN,xálo,lang4,xàlùnṹ,0.8333,parallel,49,5
to float,VB,némi,lang4,nẽ́mĩ́mĩ,1.0,parallel,49,5
field,NN,xóronu,lang4,xórùnṹnṹ,0.875,parallel,49,5
to be surprised,VB,vóruza,lang4,ízàmĩ́mĩ,1.0,parallel,49,5
student,NN,dóruma,lang2,Þàdórúmàdórúmàgùùg,0.7879,parallel,13,6
coffee,NN,kávuru,lang2,kàvúrú,1.0,parallel,13,6
to need,VB,dézimi,lang2,ídéngímímí,0.8421,parallel,13,6
and,CONJ,hére,lang2,hérì,0.75,parallel,13,6
to procrastinate,VB,lómamu,lang2,úlómàmúmú,1.0,parallel,13,6
scholar,NN,zúradóruma,lang2,ngúúràdórúmàgùùg,0.6897,parallel,6,5
linguistics,NN,líneni,lang2,líínìní,0.7692,parallel,6,5
to learn,VB,sérimi,lang2,íngérímíngíhímí,0.7143,parallel,6,5
library,NN,pánuru,lang2,pànúrúnú,1.0,parallel,6,5
if,CONJ,héré,lang3,Héré,1.0,parallel,71,7
spring,NN,vóruma,lang3,tàvórúmã̀nṹ,0.8889,parallel,71,7
to be surprised,VB,vóruza,lang3,ízàmĩ́mĩ,1.0,parallel,71,7
four,CARD,vóru,lang3,tàvàrígàdí,0.8889,parallel,71,7
cherry,NN,sakúra,lang3,sàgúúrãã,0.8571,parallel,71,7
